Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
BMW 5 Series,Mumbai,2010,69300,Petrol,Automatic,Second,10.8,2497,150.0,5.0,1250000.0
Maruti Swift Dzire,Kolkata,2017,73000,Diesel,Manual,First,23.4,1248,74.0,5.0,475000.0
Ford Ecosport 1.0,Mumbai,2017,34000,Petrol,Manual,First,18.88,999,123.24,5.0,785000.0
Hyundai Verna CRDi,Ahmedabad,2013,73000,Diesel,Manual,First,16.8,1493,110.0,5.0,600000.0
Tata Zest Revotron,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193,88.7,5.0,400000.0
Audi A7 2011-2015,Mumbai,2011,42000,Diesel,Automatic,First,14.4,2967,241.4,5.0,2875000.0
Tata Indica Vista,Pune,2012,65000,Diesel,Manual,First,22.3,1248,74.0,5.0,250000.0
Maruti Swift Dzire,Delhi,2015,73000,Diesel,Manual,First,26.59,1248,74.0,5.0,550000.0
Fiat Linea Emotion,Kolkata,2010,39852,Petrol,Manual,First,16.0,1368,90.0,5.0,159000.0
Hyundai i20 1.2,Mumbai,2017,34000,Petrol,Manual,First,18.6,1197,81.83,5.0,622000.0
Hyundai EON Era,Kolkata,2016,34000,Petrol,Manual,First,21.1,814,55.2,5.0,275000.0
Hyundai Santro Xing,Chennai,2007,73000,Petrol,Manual,Second,18.0,1086,113.25,5.0,135000.0
Mercedes-Benz GLA Class,Pune,2017,50000,Diesel,Automatic,First,17.9,2143,136.0,5.0,2500000.0
Maruti Celerio VXI,Delhi,2014,73000,Petrol,Manual,First,23.1,998,67.04,5.0,280000.0
Chevrolet Beat LT,Mumbai,2014,54890,Petrol,Manual,Second,17.8,1199,76.8,5.0,245000.00000000003
Honda Jazz 1.2,Pune,2016,34000,Petrol,Automatic,First,19.0,1199,88.7,5.0,635000.0
BMW 3 Series,Mumbai,2009,58557,Diesel,Automatic,Third,16.07,1995,181.0,5.0,800000.0
Renault Duster 110PS,Bangalore,2014,70000,Diesel,Manual,First,19.01,1461,108.45,5.0,825000.0
Ford Figo 2015-2019,Mumbai,2017,34000,Petrol,Automatic,First,17.01,1499,110.4,5.0,595000.0
Toyota Innova Crysta,Kochi,2018,34000,Diesel,Manual,First,13.68,2393,147.8,7.0,1992000.0000000002
Chevrolet Beat Diesel,Kochi,2016,73000,Diesel,Manual,First,25.44,936,56.3,5.0,315000.0
Volkswagen Polo GTI,Chennai,2014,35059,Petrol,Automatic,First,17.21,1798,189.0,4.0,575000.0
Ford Endeavour 3.2,Kochi,2018,34000,Diesel,Automatic,First,10.91,1621,197.2,7.0,3244000.0
Hyundai Verna 1.6,Kochi,2016,44875,Diesel,Automatic,Second,22.32,1582,126.32,5.0,801000.0
Ford Figo 2015-2019,Coimbatore,2017,34000,Petrol,Manual,First,18.16,1196,86.8,5.0,648000.0
Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.1,796,37.0,4.0,75000.0
Honda City i,Kolkata,2014,36000,Diesel,Manual,First,26.0,1498,98.6,5.0,500000.0
Mahindra XUV500 W8,Mumbai,2012,37000,Diesel,Manual,First,16.0,2179,140.0,7.0,775000.0
Ford Figo Diesel,Chennai,2010,73000,Diesel,Manual,First,20.0,1399,68.0,5.0,260000.0
Ford EcoSport 1.5,Pune,2018,34000,Petrol,Manual,First,17.0,1497,121.36,5.0,919999.9999999999
Hyundai i20 Asta,Mumbai,2015,42575,Petrol,Manual,First,18.6,1197,81.83,5.0,505000.0
Toyota Innova 2.5,Hyderabad,2012,73000,Diesel,Manual,First,12.99,2494,100.0,7.0,960000.0
Renault Duster 85PS,Mumbai,2013,73000,Diesel,Manual,First,20.46,1461,83.8,5.0,550000.0
Toyota Innova 2.5,Mumbai,2013,47234,Diesel,Manual,First,12.99,2494,100.6,8.0,935000.0
Honda City 1.5,Delhi,2009,73000,Petrol,Manual,First,17.0,1497,118.0,5.0,260000.0
Maruti Alto K10,Hyderabad,2016,34000,Petrol,Manual,First,24.07,998,67.1,5.0,350000.0
Nissan Micra Active,Kochi,2016,49389,Petrol,Manual,First,19.49,1198,67.04,5.0,426000.0
Maruti Celerio VXI,Chennai,2016,34000,Petrol,Automatic,Second,23.1,998,67.04,5.0,425000.0
Mercedes-Benz New C-Class,Hyderabad,2010,65000,Petrol,Manual,Second,11.7,1796,178.0,5.0,1175000.0
Ford Fiesta Diesel,Chennai,2013,73000,Diesel,Manual,First,23.5,1498,88.7,5.0,350000.0
Hyundai Verna 1.6,Jaipur,2015,73000,Petrol,Manual,First,17.01,1591,121.3,5.0,750000.0
Hyundai i20 1.4,Chennai,2009,72000,Petrol,Automatic,Third,15.0,1396,100.0,5.0,325000.0
Maruti Swift Dzire,Chennai,2012,49000,Petrol,Manual,First,17.5,1298,85.8,5.0,490000.00000000006
Mercedes-Benz New C-Class,Hyderabad,2014,51355,Diesel,Automatic,First,14.84,2143,170.0,5.0,2700000.0
Hyundai Elite i20,Kochi,2017,34000,Petrol,Manual,First,18.6,1197,81.86,5.0,891000.0
Hyundai Verna 1.6,Kochi,2014,35642,Petrol,Automatic,First,17.01,1591,121.4,5.0,669000.0
Chevrolet Cruze LTZ,Kochi,2014,52895,Diesel,Manual,First,17.3,1998,163.7,5.0,602000.0
Toyota Corolla Altis,Mumbai,2010,73000,Petrol,Manual,First,14.28,1798,138.03,5.0,450000.0
Maruti A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,19.0,998,66.1,5.0,200000.0
Nissan Micra Diesel,Kolkata,2012,34000,Diesel,Manual,First,23.08,1461,63.1,5.0,240000.0
Tata Nano LX,Pune,2013,34000,Petrol,Manual,First,25.4,624,37.48,4.0,120000.0
Maruti Swift Dzire,Delhi,2014,71800,Diesel,Manual,First,23.4,1248,74.0,5.0,290000.0
Land Rover Range,Coimbatore,2008,69078,Petrol,Manual,First,18.0,1621,113.25,5.0,4088000.0000000005
Audi Q3 2.0,Ahmedabad,2016,45000,Diesel,Automatic,First,17.32,1968,184.0,5.0,2700000.0
Honda Amaze VX,Chennai,2016,34000,Diesel,Manual,First,25.8,1498,98.6,5.0,750000.0
Chevrolet Optra 1.6,Mumbai,2004,73000,Petrol,Manual,First,14.7,1599,104.0,5.0,150000.0
Audi Q5 2.0,Hyderabad,2016,43000,Diesel,Automatic,First,14.16,1968,174.3,5.0,3950000.0
Maruti Ritz VDi,Hyderabad,2012,73000,Diesel,Manual,First,23.2,1248,73.94,5.0,339000.0
Mahindra Scorpio S6,Kochi,2018,37804,Diesel,Manual,First,15.4,2179,120.0,7.0,1240000.0
Maruti Ciaz ZDi,Chennai,2014,45000,Diesel,Manual,First,28.09,1248,88.5,5.0,685000.0
Toyota Corolla Altis,Pune,2011,73000,Diesel,Manual,Second,21.43,1364,138.0,5.0,575000.0
Tata Indica V2,Chennai,2015,73000,Diesel,Manual,Second,25.0,1396,69.0,5.0,200000.0
Maruti 800 Std,Jaipur,2006,73000,Petrol,Manual,First,16.1,796,37.0,4.0,90000.0
Volkswagen Polo 1.2,Kolkata,2015,34000,Petrol,Manual,First,16.47,1198,74.0,5.0,380000.0
Hyundai Elantra 2.0,Delhi,2017,34000,Petrol,Automatic,First,14.62,1999,149.92,5.0,1635000.0000000002
Toyota Fortuner 4x2,Hyderabad,2012,73000,Diesel,Automatic,First,11.5,2982,169.0,7.0,1650000.0
Maruti Baleno Zeta,Coimbatore,2019,34000,Petrol,Manual,First,21.4,1197,83.1,5.0,869999.9999999999
Maruti Baleno Zeta,Mumbai,2016,34000,Petrol,Manual,First,21.4,1197,83.1,5.0,610000.0
Mini Cooper Countryman,Hyderabad,2013,51000,Diesel,Automatic,First,23.8,1998,112.0,5.0,2194000.0
Mercedes-Benz S Class,Chennai,2009,42000,Diesel,Automatic,Second,13.0,2987,210.0,5.0,2200000.0
Maruti Alto K10,Delhi,2015,51000,Petrol,Manual,First,20.92,998,67.1,5.0,265000.0
Maruti Swift VXI,Kochi,2017,42527,Petrol,Manual,First,20.4,1197,81.8,5.0,527000.0
Chevrolet Sail LT,Kolkata,2014,45000,Diesel,Manual,First,22.1,1248,74.0,5.0,248000.0
Toyota Innova 2.5,Kolkata,2011,70000,Diesel,Manual,First,12.8,2494,102.0,8.0,600000.0
Toyota Fortuner 3.0,Mumbai,2009,73000,Diesel,Manual,First,11.5,2982,171.0,7.0,890000.0
BMW 3 Series,Hyderabad,2012,57156,Diesel,Automatic,Second,18.88,1995,184.0,5.0,1800000.0
Skoda Octavia Ambition,Coimbatore,2016,53211,Petrol,Manual,First,16.8,1395,138.02,5.0,1164000.0
Toyota Fortuner 3.0,Kolkata,2019,73000,Diesel,Manual,First,11.5,2982,171.0,7.0,899000.0
Volkswagen Jetta 2007-2011,Bangalore,2009,73000,Diesel,Automatic,First,15.5,1896,105.0,5.0,525000.0
Hyundai i20 1.4,Kolkata,2011,37000,Diesel,Manual,First,23.0,1396,90.0,5.0,295000.0
Tata Manza Club,Mumbai,2013,64000,Diesel,Manual,Second,21.02,1248,88.76,5.0,265000.0
Volkswagen Vento Petrol,Pune,2013,57197,Petrol,Manual,First,15.04,1598,103.6,5.0,400000.0
Hyundai Creta 1.6,Chennai,2016,55000,Diesel,Automatic,First,17.6,1582,126.2,5.0,1250000.0
Maruti Ritz VXI,Mumbai,2014,34000,Petrol,Manual,First,21.1,1197,85.8,5.0,325000.0
Honda CR-V 2.0L,Delhi,2008,70000,Petrol,Manual,First,13.1,1997,141.1,5.0,400000.0
Mahindra XUV500 W8,Delhi,2012,73000,Diesel,Manual,Second,15.1,2179,140.0,7.0,625000.0
Volkswagen Ameo 1.5,Jaipur,2016,58095,Diesel,Manual,First,21.66,1498,108.62,5.0,580000.0
Tata Zest Revotron,Kolkata,2015,34000,Petrol,Manual,First,17.57,1193,88.7,5.0,500000.0
Jaguar XJ 3.0L,Kochi,2016,34000,Diesel,Automatic,First,12.9,2993,270.88,5.0,5873000.0
Toyota Corolla Altis,Kochi,2018,34000,Petrol,Automatic,First,14.28,1798,138.03,5.0,1748999.9999999998
Maruti A-Star Vxi,Pune,2011,69000,Petrol,Manual,Second,19.0,998,66.1,5.0,195000.0
Honda Accord VTi-L,Mumbai,2007,73000,Petrol,Automatic,First,11.1,2354,142.0,5.0,300000.0
Hyundai i20 Asta,Delhi,2014,42365,Petrol,Manual,First,17.0,1197,80.0,5.0,550000.0
Toyota Fortuner 4x2,Delhi,2013,73000,Diesel,Automatic,First,12.55,2982,168.5,7.0,1650000.0
Mercedes-Benz New C-Class,Mumbai,2011,40000,Petrol,Automatic,Second,11.74,1796,186.0,5.0,1450000.0
Maruti Baleno Alpha,Hyderabad,2016,34000,Diesel,Manual,First,27.39,1248,74.0,5.0,779000.0
Maruti Ertiga VDI,Kochi,2017,43775,Diesel,Manual,First,20.77,1248,88.76,7.0,827000.0
Land Rover Range,Kochi,2019,34000,Diesel,Automatic,First,12.65,2993,255.0,5.0,9707000.0
Chevrolet Optra Magnum,Mumbai,2012,56000,Petrol,Manual,First,12.9,1598,102.5,5.0,215000.0
Honda Civic 2006-2010,Hyderabad,2008,73000,Petrol,Automatic,Second,12.9,1799,130.0,5.0,300000.0
BMW X3 xDrive20d,Coimbatore,2014,41089,Diesel,Automatic,First,16.09,1995,184.0,5.0,2879000.0
Skoda Laura Ambition,Mumbai,2011,41988,Diesel,Automatic,First,20.0,1968,138.1,5.0,545000.0
Maruti Swift Dzire,Delhi,2013,72486,Diesel,Manual,First,23.4,1248,74.0,5.0,395000.0
Volvo V40 Cross,Pune,2013,73000,Diesel,Automatic,First,23.3,1984,150.0,5.0,1600000.0
Maruti Swift Dzire,Delhi,2013,40000,Petrol,Manual,First,17.5,1298,85.8,5.0,425000.0
Land Rover Range,Bangalore,2014,56000,Diesel,Automatic,First,12.7,2179,187.7,5.0,3450000.0
Honda Accord 2.4,Mumbai,2008,73000,Petrol,Automatic,Third,11.7,2354,177.6,5.0,260000.0
Toyota Innova 2.5,Kochi,2017,34000,Diesel,Manual,First,12.99,2494,100.6,8.0,1348000.0
Toyota Fortuner 4x4,Hyderabad,2018,39927,Diesel,Manual,First,12.55,2982,168.5,7.0,3210000.0
Honda Jazz 1.2,Kochi,2018,38593,Petrol,Manual,First,18.7,1199,88.7,5.0,617000.0
Honda City 1.5,Kolkata,2015,34000,Petrol,Manual,First,17.0,1497,118.0,5.0,550000.0
Maruti Dzire AMT,Hyderabad,2017,34000,Diesel,Automatic,First,28.4,1248,73.75,5.0,915000.0
Nissan Sunny 2011-2014,Pune,2014,73000,Diesel,Manual,First,21.64,1461,84.8,5.0,450000.0
Toyota Innova 2.5,Chennai,2014,73000,Diesel,Manual,First,12.99,2494,100.6,8.0,1050000.0
Honda Brio S,Coimbatore,2016,34000,Petrol,Manual,First,19.4,1198,86.8,5.0,537000.0
Volkswagen Vento Petrol,Bangalore,2012,52000,Petrol,Manual,First,15.04,1598,103.6,5.0,545000.0
Mahindra XUV500 W4,Mumbai,2016,34000,Diesel,Manual,First,16.0,2179,140.0,7.0,925000.0
Ford EcoSport 1.5,Chennai,2016,34000,Diesel,Manual,First,23.0,1498,98.96,5.0,770000.0
Skoda Yeti Ambition,Hyderabad,2012,73000,Diesel,Manual,First,17.72,1968,108.49,5.0,799000.0
Hyundai i10 Sportz,Chennai,2012,49000,Petrol,Manual,First,20.36,1197,78.9,5.0,300000.0
Toyota Innova 2.5,Hyderabad,2005,73000,Diesel,Manual,First,12.8,2494,102.0,8.0,400000.0
Tata Zest Quadrajet,Coimbatore,2018,38310,Diesel,Manual,First,20.65,1248,88.7,5.0,669000.0
Maruti Swift VDI,Delhi,2014,56000,Diesel,Manual,First,22.9,1248,74.0,5.0,425000.0
Skoda Rapid 1.5,Kolkata,2017,34000,Diesel,Automatic,First,21.72,1498,108.4,5.0,1050000.0
Toyota Innova Crysta,Coimbatore,2019,34000,Diesel,Manual,First,13.68,2393,147.8,8.0,2255000.0
Hyundai Verna 1.6,Pune,2014,48000,Petrol,Manual,Second,17.01,1591,121.3,5.0,520000.0
Honda City i,Coimbatore,2019,34000,Petrol,Manual,First,17.4,1497,117.3,5.0,1187000.0
Honda City i,Hyderabad,2014,65000,Diesel,Manual,First,26.0,1498,98.6,5.0,699000.0
Volkswagen Vento Diesel,Jaipur,2011,50000,Diesel,Manual,First,20.54,1598,103.6,5.0,500000.0
Audi Q5 2008-2012,Chennai,2014,34000,Diesel,Automatic,First,12.19,2967,236.0,5.0,4400000.0
Maruti Alto 800,Chennai,2015,34000,Petrol,Manual,First,22.74,796,47.3,5.0,279000.0
Tata Manza ELAN,Pune,2012,73000,Diesel,Manual,Second,21.12,1248,88.8,5.0,290000.0
Hyundai Creta 1.6,Delhi,2016,68000,Petrol,Manual,First,15.29,1591,121.3,5.0,985000.0
Mercedes-Benz GL-Class 2007,Bangalore,2014,52000,Diesel,Automatic,First,12.0,2987,224.0,7.0,4900000.0
Mahindra Thar CRDe,Jaipur,2016,34000,Diesel,Manual,First,16.55,2498,105.0,6.0,925000.0
Hyundai Verna 1.6,Mumbai,2011,73000,Diesel,Manual,Second,22.32,1582,126.3,5.0,375000.0
Ford Aspire Titanium,Coimbatore,2017,34000,Diesel,Manual,First,26.1,1498,99.0,5.0,729000.0
Mini Cooper 3,Mumbai,2016,34000,Diesel,Automatic,First,20.7,1496,113.98,4.0,2350000.0
Maruti Omni 8,Hyderabad,2013,34834,Petrol,Manual,First,14.0,796,35.0,5.0,260000.0
Mahindra Verito 1.5,Pune,2015,73000,Diesel,Manual,Second,21.03,1461,65.0,5.0,310000.0
Mercedes-Benz E-Class 2009-2013,Coimbatore,2016,38730,Diesel,Automatic,First,14.21,2143,203.0,5.0,2998000.0
Renault Duster 110PS,Kochi,2016,57390,Diesel,Manual,First,19.01,1461,108.45,5.0,673000.0
Maruti Swift Dzire,Kolkata,2016,73000,Diesel,Manual,First,23.4,1248,74.0,5.0,350000.0
Volkswagen Polo Petrol,Kolkata,2011,50000,Petrol,Manual,First,16.47,1198,73.9,5.0,235000.0
Mahindra XUV500 W10,Coimbatore,2017,64961,Diesel,Manual,First,16.0,2179,140.0,7.0,1613000.0
Volkswagen Polo 1.2,Coimbatore,2014,72465,Petrol,Manual,First,16.47,1198,74.0,5.0,590000.0
Maruti Ritz VXI,Hyderabad,2012,68776,Petrol,Manual,First,21.1,1197,85.8,5.0,390000.0
Chevrolet Optra 1.6,Pune,2005,73000,Petrol,Manual,First,14.7,1598,113.25,5.0,150000.0
Toyota Innova 2.5,Delhi,2012,68000,Diesel,Manual,First,12.8,2494,102.0,7.0,695000.0
Honda City i,Delhi,2015,34000,Diesel,Manual,First,26.0,1498,98.6,5.0,700000.0
Volkswagen Ameo 1.2,Coimbatore,2017,34000,Petrol,Manual,First,17.0,1198,73.75,5.0,723000.0
Maruti SX4 ZDI,Mumbai,2012,73000,Diesel,Manual,First,21.5,1248,88.8,5.0,381000.0
Maruti Swift ZXI,Chennai,2012,42000,Petrol,Manual,Third,18.6,1197,85.8,5.0,450000.0
Hyundai Creta 1.6,Pune,2017,38767,Diesel,Manual,First,19.67,1582,126.2,5.0,1260000.0
Audi Q7 35,Bangalore,2015,34000,Diesel,Automatic,First,12.07,2967,241.4,7.0,4800000.0
Maruti Alto LXi,Coimbatore,2010,59136,Petrol,Manual,First,19.7,796,46.3,5.0,296000.0
Honda Amaze SX,Kolkata,2014,36000,Diesel,Manual,First,25.8,1498,98.6,5.0,325000.0
Volkswagen Passat Diesel,Chennai,2011,73000,Diesel,Automatic,Second,18.33,1968,167.7,5.0,850000.0
Hyundai Elantra CRDi,Mumbai,2013,51000,Diesel,Automatic,First,19.5,1582,126.24,5.0,875000.0
Maruti Wagon R,Kochi,2011,36411,Petrol,Manual,First,18.9,998,67.1,5.0,308000.0
Land Rover Discovery,Mumbai,2017,40000,Diesel,Automatic,First,12.81,1999,148.31,7.0,4150000.0
Honda City i,Pune,2016,34000,Petrol,Manual,First,17.8,1497,117.3,5.0,700000.0
Mercedes-Benz New C-Class,Kochi,2011,34000,Petrol,Automatic,Second,14.74,1991,181.03,5.0,1150000.0
Maruti Wagon R,Pune,2011,71000,Petrol,Manual,First,20.51,998,67.04,5.0,260000.0
Hyundai Verna 1.6,Kolkata,2014,34000,Diesel,Manual,First,22.32,1582,126.3,5.0,430000.0
Maruti Ertiga VXI,Mumbai,2017,34000,CNG,Manual,First,17.5,1373,80.46,7.0,835000.0
Volkswagen Tiguan 2.0,Jaipur,2017,50510,Diesel,Automatic,First,17.06,1968,141.0,5.0,2490000.0
BMW X1 sDrive,Pune,2011,73000,Diesel,Automatic,First,15.06,1995,177.0,5.0,1375000.0
Hyundai Grand i10,Kolkata,2014,42277,Diesel,Manual,First,24.0,1186,73.97,5.0,385000.0
Mercedes-Benz E-Class E250,Mumbai,2014,46000,Diesel,Automatic,First,13.0,2143,201.1,5.0,2325000.0
Mahindra Bolero ZLX,Chennai,2012,35000,Diesel,Manual,First,13.6,2523,113.25,7.0,700000.0
Hyundai Grand i10,Bangalore,2015,50000,Petrol,Manual,First,18.9,1197,82.0,5.0,575000.0
Hyundai i10 Magna,Mumbai,2008,62000,Petrol,Manual,Second,20.36,1197,78.9,5.0,165000.0
Volkswagen Jetta 2012-2014,Mumbai,2012,73000,Diesel,Manual,First,19.33,1968,138.1,5.0,650000.0
Skoda Yeti Elegance,Chennai,2011,73000,Diesel,Manual,First,17.67,1968,138.08,5.0,750000.0
Audi Q7 45,Kochi,2019,34000,Diesel,Automatic,First,14.75,2967,245.0,7.0,7294000.0
Toyota Fortuner 3.0,Chennai,2010,73000,Diesel,Manual,Second,11.5,2982,171.0,7.0,1100000.0
Maruti Wagon R,Kochi,2013,36716,Petrol,Manual,First,18.9,1061,67.0,5.0,302000.0
Hyundai EON Era,Coimbatore,2013,65060,Petrol,Manual,First,21.1,814,55.2,5.0,332000.0
Honda Brio S,Delhi,2013,34000,Petrol,Manual,First,19.4,1198,86.8,5.0,324000.0
Maruti Alto 800,Kolkata,2015,34000,Petrol,Manual,First,22.74,796,47.3,5.0,235000.0
Mahindra Bolero ZLX,Jaipur,2013,63000,Diesel,Manual,First,15.96,2523,62.1,7.0,550000.0
Honda City i,Mumbai,2015,34000,Petrol,Manual,First,17.8,1497,117.3,5.0,675000.0
Skoda Rapid 1.6,Mumbai,2015,34000,Petrol,Manual,First,15.0,1598,103.52,5.0,615000.0
Maruti Swift VVT,Pune,2016,34000,Petrol,Manual,First,22.0,1197,81.8,5.0,545000.0
Hyundai EON Magna,Hyderabad,2013,34000,Petrol,Manual,Second,21.1,814,55.2,5.0,229999.99999999997
Maruti Swift Dzire,Kochi,2015,34000,Petrol,Manual,First,20.85,1197,83.14,5.0,621000.0
Nissan Micra XV,Coimbatore,2014,47303,Petrol,Automatic,First,19.34,1198,76.0,5.0,521000.0
Audi Q7 4.2,Delhi,2008,71000,Petrol,Automatic,First,8.3,1621,250.0,7.0,1199000.0
Maruti Swift Vdi,Pune,2010,73000,Diesel,Manual,First,17.8,1248,75.0,5.0,310000.0
Tata Xenon XT,Jaipur,2017,34000,Diesel,Manual,First,13.49,2179,138.03,5.0,750000.0
Volkswagen Polo 1.5,Kolkata,2016,34000,Diesel,Manual,First,20.14,1498,88.8,5.0,400000.0
Honda City i,Kochi,2016,36367,Petrol,Manual,First,17.8,1497,117.3,5.0,773000.0
Honda City i,Bangalore,2015,38000,Petrol,Manual,First,17.4,1497,117.3,5.0,780000.0
Maruti 800 AC,Hyderabad,2011,73000,Petrol,Manual,First,16.1,796,37.0,4.0,130000.0
Volkswagen Polo 1.5,Jaipur,2014,73000,Diesel,Manual,First,20.14,1498,88.8,5.0,442000.0
Chevrolet Captiva LTZ,Pune,2009,73000,Diesel,Automatic,First,12.5,1991,147.9,7.0,400000.0
Mahindra XUV500 W10,Kolkata,2016,54000,Diesel,Manual,First,16.0,2179,140.0,7.0,1300000.0
Honda Amaze VX,Kochi,2015,61691,Diesel,Manual,First,25.8,1498,98.6,5.0,538000.0
Hyundai i20 1.2,Chennai,2011,34000,Petrol,Manual,Second,17.0,1197,80.0,5.0,325000.0
Maruti Wagon R,Jaipur,2016,68630,Petrol,Automatic,First,20.51,998,67.0,5.0,387000.0
Volkswagen Jetta 2013-2015,Mumbai,2014,61000,Diesel,Automatic,Second,16.96,1968,138.03,5.0,825000.0
Maruti Ciaz 1.4,Mumbai,2018,34000,Petrol,Manual,First,20.73,1373,91.1,5.0,927999.9999999999
Mahindra Scorpio 2009-2014,Delhi,2012,73000,Diesel,Automatic,First,11.79,2179,120.0,7.0,625000.0
Chevrolet Aveo U-VA,Mumbai,2008,73000,Petrol,Manual,Second,15.26,1150,74.9,5.0,114999.99999999999
Maruti Ciaz ZXi,Kochi,2016,40347,Petrol,Manual,First,20.73,1373,91.2,5.0,780000.0
Hyundai i20 1.4,Hyderabad,2012,60788,Diesel,Manual,First,23.0,1396,90.0,5.0,450000.0
Honda Jazz 1.2,Kochi,2018,34000,Petrol,Manual,First,18.7,1199,88.7,5.0,756000.0
Mahindra XUV500 W10,Coimbatore,2017,57847,Diesel,Manual,First,16.0,2179,140.0,7.0,1607999.9999999998
Hyundai i20 1.2,Bangalore,2012,52237,Petrol,Manual,First,17.0,1197,80.0,5.0,450000.0
Hyundai Verna 1.6,Chennai,2012,73000,Diesel,Manual,First,22.32,1582,126.32,5.0,500000.0
Hyundai i10 Era,Delhi,2011,54000,Petrol,Manual,First,19.81,1086,68.05,5.0,220000.00000000003
Maruti Celerio VXI,Bangalore,2014,49800,Petrol,Automatic,First,23.1,998,67.04,5.0,400000.0
Skoda Fabia 1.2,Kolkata,2012,73000,Diesel,Manual,First,20.86,1199,73.9,5.0,250999.99999999997
Maruti Swift VDI,Delhi,2015,60095,Diesel,Manual,First,25.2,1248,74.0,5.0,475000.0
Hyundai i10 Magna(O),Pune,2008,68000,Petrol,Manual,Second,16.0,1086,66.7,5.0,200000.0
Hyundai i10 Magna,Jaipur,2010,73000,Petrol,Manual,Second,20.36,1197,78.9,5.0,210000.0
Ford Ecosport 1.5,Mumbai,2013,38000,Petrol,Automatic,First,16.5,1499,110.0,5.0,625000.0
Mercedes-Benz E-Class 2009-2013,Kochi,2011,73000,Diesel,Automatic,Second,11.5,2987,210.0,5.0,1060000.0
Maruti Swift VDI,Ahmedabad,2017,49224,Diesel,Manual,First,25.2,1248,74.0,5.0,600000.0
Maruti 800 Std,Jaipur,2004,34000,Petrol,Manual,Second,16.1,796,37.0,4.0,45000.0
Maruti Swift Lxi,Pune,2010,54898,Petrol,Manual,Third,16.1,1298,88.2,5.0,250000.0
Hyundai Creta 1.6,Mumbai,2018,34000,Petrol,Manual,First,15.29,1591,121.3,5.0,1275000.0
BMW X1 M,Kochi,2017,34000,Diesel,Automatic,First,17.05,1995,190.0,5.0,3029000.0
Ford Ikon 1.3,Hyderabad,2006,34000,Petrol,Manual,First,13.8,1299,70.0,5.0,160000.0
Ford Ecosport 1.5,Kochi,2017,73000,Diesel,Manual,First,22.7,1498,89.84,5.0,754000.0
Maruti Ciaz VXi,Kochi,2015,46601,Petrol,Manual,First,20.73,1373,91.1,5.0,684000.0
Volkswagen Passat Diesel,Kolkata,2012,72000,Diesel,Automatic,First,18.33,1968,167.7,5.0,600000.0
Honda Jazz 1.5,Pune,2017,34000,Diesel,Manual,First,27.3,1498,98.6,5.0,800000.0
Audi A4 35,Coimbatore,2016,68193,Diesel,Automatic,First,17.11,1968,174.33,5.0,2474000.0
Hyundai Grand i10,Kochi,2017,34429,Diesel,Manual,First,24.0,1120,70.0,5.0,550000.0
Mercedes-Benz GL-Class 2007,Delhi,2013,46000,Diesel,Automatic,First,12.0,2987,224.0,7.0,3600000.0
Toyota Innova 2.5,Coimbatore,2013,73000,Diesel,Manual,First,12.99,2494,100.6,7.0,1179000.0
Nissan Sunny 2011-2014,Jaipur,2011,42000,Petrol,Manual,Second,16.95,1498,97.7,5.0,300000.0
Skoda Laura Ambiente,Bangalore,2011,73000,Diesel,Automatic,Second,20.0,1968,138.1,5.0,675000.0
Chevrolet Aveo 1.4,Jaipur,2006,73000,Petrol,Manual,First,14.49,1399,92.7,5.0,140000.0
Honda Mobilio V,Mumbai,2014,57000,Diesel,Manual,First,24.2,1498,98.6,7.0,575000.0
Maruti Ritz VDi,Hyderabad,2010,73000,Diesel,Manual,First,21.1,1248,73.9,5.0,340000.0
Volkswagen Polo Petrol,Coimbatore,2011,44748,Petrol,Manual,Second,16.47,1198,73.9,5.0,488999.99999999994
Nissan Terrano XL,Mumbai,2013,34000,Petrol,Manual,First,13.24,1598,102.5,5.0,495000.0
Maruti A-Star AT,Coimbatore,2013,60587,Petrol,Automatic,Second,16.98,998,66.1,5.0,349000.0
Toyota Etios Liva,Pune,2011,34000,Diesel,Manual,First,23.59,1364,113.25,5.0,385000.0
Honda City 1.5,Pune,2014,43772,Petrol,Manual,First,17.0,1497,118.0,5.0,635000.0
Hyundai Grand i10,Coimbatore,2017,34000,Petrol,Automatic,First,18.9,1197,82.0,5.0,708000.0
Jaguar XE 2.0L,Hyderabad,2017,34000,Diesel,Automatic,First,13.6,1999,177.0,5.0,3800000.0
Mahindra Scorpio VLX,Kolkata,2012,62000,Diesel,Manual,First,12.05,2179,120.0,8.0,625000.0
Mercedes-Benz New C-Class,Mumbai,2011,36000,Petrol,Automatic,First,11.74,1796,186.0,5.0,1015000.0
Skoda Superb Elegance,Delhi,2014,73000,Petrol,Automatic,First,13.7,1798,157.75,5.0,1075000.0
Chevrolet Cruze LTZ,Pune,2012,73000,Diesel,Automatic,First,18.1,1991,147.9,4.0,465000.00000000006
Mahindra Scorpio VLX,Delhi,2010,61001,Diesel,Manual,First,12.05,2179,120.0,8.0,475000.0
